0,Start,k,l,i,a,b,c,d,e,f,g,h,m,n,End
Start,0,0.7,0.1,0.15,0.05,0,0,0,0,0,0,0,0,0,0
k,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
l,0,0.64,0,0.36,0,0,0,0,0,0,0,0,0,0,0
i,0,0,0,0.85,0.15,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0.8,0.2,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0,0.79,0,0,0.08,0,0.07,0,0,0
d,0,0,0,0,0,0,0,0.86,0.14,0,0,0,0,0,0
e,0,0,0,0,0,0,0.17,0,0.73,0,0,0,0.1,0,0
f,0,0,0,0,0,0,0.12,0,0,0.77,0.11,0,0,0,0
g,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
h,0,0,0,0,0,0,0.09,0,0.12,0,0,0.79,0,0,0
m,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.95,0
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
