0,Start,i,t,a,b,c,p,s,k,End,j,l
Start,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0
i,0.0,0.32,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.0,0.0,0.0,0.2,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b,0.0,0.06,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
c,0.0,0.34,0.0,0.43,0.0,0.0,0.1,0.0,0.0,0.09,0.0,0.0
p,0.0,0.39,0.0,0.0,0.0,0.0,0.06,0.29,0.0,0.23,0.0,0.0
s,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.22,0.41,0.09,0.0,0.0
k,0.0,0.35,0.0,0.0,0.0,0.0,0.45,0.0,0.1,0.1,0.0,0.0
End,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
j,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
l,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
