Bird name,Species,No. of bouts,Avg. No. of Syll per song,Song duration,Avg. repeats of first syll,Minimum motif length
ASB_Blackblue,ASB,20,110,15.3655,2.25,60
ASB_orange,ASB,20,113,19.395000000000003,5.25,83
ASB_red,ASB,20,87,17.279,13.05,43
ASB_white,ASB,25,91,14.109200000000001,7.48,69
ASB_y36a,ASB,38,73,13.853684210526318,9.947368421052632,54
ASB_yellow,ASB,11,112,17.48,2.727272727272727,22
BCC_M01,BCC,20,15,2.6704999999999997,1.1,9
BCC_M03,BCC,19,17,5.209473684210526,1.736842105263158,6
BCC_M08,BCC,40,12,3.4589999999999996,2.325,6
BCC_M09,BCC,24,19,3.186666666666667,1.2083333333333333,17
BCC_M11,BCC,31,17,4.63516129032258,1.3548387096774193,8
BCC_M19,BCC,50,20,3.3946000000000005,1.22,4
BCC_M21,BCC,229,8,1.6089519650655022,1.0655021834061136,4
BCC_M22,BCC,22,30,7.868636363636364,1.0454545454545454,4
BF_brn20pnk9,BF,53,40,7.89056603773585,2.1132075471698113,4
BF_brn24pnk13,BF,11,53,10.13,3.3636363636363638,41
BF_brn25pnk14,BF,25,76,13.300400000000002,2.16,48
BF_brn35pnk21,BF,25,133,16.026400000000002,1.36,84
BF_brn36pnk24,BF,29,95,13.57,2.896551724137931,13
BF_org20ylw24,BF,21,92,15.901904761904762,3.4761904761904763,33
BF_org27ylw19,BF,31,60,10.233870967741936,2.870967741935484,4
ISB_r5y81,ISB,77,85,14.46987012987013,1.2597402597402598,41
ISB_y51i,ISB,15,73,13.817333333333332,2.2,39
ISB_y54i,ISB,20,70,11.25,1.2,36
ISB_y61i,ISB,19,71,11.36157894736842,4.684210526315789,38
ISB_y63i,ISB,18,98,19.95055555555556,2.111111111111111,30
JF_red28blu13,JF,28,22,8.907142857142858,1.3571428571428572,13
JF_y23g09,JF,26,38,6.898076923076923,3.5384615384615383,21
JF_ylw14gry00,JF,18,23,6.864999999999999,1.5,10
JF_ylw20gry09,JF,24,35,8.375,2.5416666666666665,14
JF_ylw22gry08,JF,25,14,4.513599999999999,1.88,9
JF_ylw25gry11,JF,30,25,9.236666666666668,5.233333333333333,13
SF_y08s,SF,20,82,10.8755,1.7,71
SF_y14s,SF,26,117,17.47807692307692,3.8461538461538463,64
SF_y47s,SF,20,78,8.81,2.45,72
SF_y50s,SF,20,109,10.9515,2.2,65
ZF_grn21org41,ZF,147,16,3.5125170068027205,3.3537414965986394,6
ZF_org01wht58,ZF,65,24,5.427076923076922,2.3230769230769233,5
ZF_org11pnk05,ZF,89,28,5.862584269662922,2.4719101123595504,6
ZF_pnk93pnk91,ZF,49,21,3.875918367346939,1.9795918367346939,5
ZF_red15ylw15,ZF,87,22,4.657471264367815,1.9885057471264367,9
ZF_red77pnk45,ZF,111,19,3.247567567567568,2.108108108108108,9
ZF_ylw67brn42,ZF,61,23,5.574098360655738,1.639344262295082,7
ZF_ylw95ylw29,ZF,59,38,6.619830508474577,3.6271186440677967,13
