Bird,Species,#Syl,#Trans,#StartSyl,FraStartSyll,#StartRepeat,AvgStartSelfTrans,#SylSongBout,S_Lin,S_Con,S_Stereo,Trans_entropy
BCC_M01,BCC,19,28,3,0.157894737,1.1,0.07,14,0.68,0.9,0.79,5.7
BCC_M03,BCC,18,38,4,0.222222222,1.77,0.03,17,0.47,0.8,0.635,11.57
BCC_M08,BCC,12,42,3,0.25,2.3,0.18,9,0.28,0.61,0.445,15.31
BCC_M09,BCC,19,44,4,0.210526316,1.16,0.2,10,0.43,0.77,0.6,14.33
BCC_M11,BCC,18,29,4,0.222222222,1.35,0.08,14,0.62,0.84,0.73,7.96
BCC_M19,BCC,18,38,4,0.222222222,1.7,0.11,15,0.47,0.75,0.61,13.25
BCC_M21,BCC,11,25,2,0.181818182,1.07,0.12,7,0.44,0.74,0.59,8.86
BCC_M22,BCC,12,43,2,0.166666667,1.04,0.08,27,0.28,0.57,0.425,15.94
BF_b25p14,BF,10,35,3,0.3,2.13,0.15,82,0.28,0.75,0.515,8.24
BF_b35p21,BF,8,24,1,0.125,1.36,0,132,0.33,0.74,0.535,5.18
BF_b36p24,BF,8,30,1,0.125,2.8,0.16,88,0.26,0.47,0.365,7.9
ZF_o11p05,ZF,10,28,3,0.3,2.28,0.22,20,0.35,0.6,0.475,11.23
ZF_p93p91,ZF,10,26,3,0.3,2.14,0.14,30,0.38,0.75,0.565,8.48
ZF_r15y15,ZF,9,18,2,0.222222222,2.03,0.18,29,0.5,0.74,0.62,6.3
ZF_r77p45,ZF,8,21,2,0.25,2.04,0.11,25,0.38,0.68,0.53,7.54
ZF_g21o41,ZF,9,17,3,0.333333333,3.2,0.08,19,0.53,0.8,0.665,5.3
ZF_y67b42,ZF,9,19,2,0.222222222,1.64,0.037,22,0.47,0.77,0.62,6.45
ZF_y74b01,ZF,9,21,3,0.333333333,1.02,0.067,10,0.43,0.74,0.585,7.3
ZF_y95y29,ZF,11,24,5,0.454545455,3.4,0.15,21,0.46,0.73,0.595,8.65
JF_y14g00,JF,11,34,3,0.272727273,1.45,0.23,21,0.32,0.59,0.455,12.81
JF_y20g09,JF,10,21,3,0.3,1.8,0.25,15,0.48,0.66,0.57,8.59
,,,,,,,,,,,,
o11p05 - 50 files,,10,25,2,0.3,2.5,0.1,21,0.4,0.6,0.5,10.46
