Bird name,Species,Syll label,Beginning bout probability,Self-transition probability
BCC_M01,BCC,Start,0,0
BCC_M01,BCC,i,0.8,0
BCC_M01,BCC,j,0,0
BCC_M01,BCC,a,0,0
BCC_M01,BCC,b,0,0
BCC_M01,BCC,c,0,0
BCC_M01,BCC,d,0,0
BCC_M01,BCC,e,0,0
BCC_M01,BCC,f,0,0
BCC_M01,BCC,g,0,0
BCC_M01,BCC,h,0,0
BCC_M01,BCC,p,0,0
BCC_M01,BCC,q,0,0
BCC_M01,BCC,r,0,0
BCC_M01,BCC,End,0,0
BCC_M01,BCC,k,0.05,0
BCC_M01,BCC,l,0,0
BCC_M01,BCC,m,0,0.41
BCC_M01,BCC,o,0.15,0.4
BCC_M03,BCC,Start,0,0
BCC_M03,BCC,h,0.05,0
BCC_M03,BCC,k,0.21,0.05
BCC_M03,BCC,i,0.63,0.65
BCC_M03,BCC,a,0,0
BCC_M03,BCC,b,0,0
BCC_M03,BCC,c,0,0
BCC_M03,BCC,d,0,0
BCC_M03,BCC,e,0,0
BCC_M03,BCC,f,0,0
BCC_M03,BCC,End,0,0
BCC_M03,BCC,g,0,0
BCC_M03,BCC,m,0,0
BCC_M03,BCC,n,0,0
BCC_M03,BCC,o,0.11,0
BCC_M03,BCC,p,0,0
BCC_M08,BCC,Start,0,0
BCC_M08,BCC,k,0.12,0
BCC_M08,BCC,i,0.37,0.68
BCC_M08,BCC,a,0.49,0.44
BCC_M08,BCC,b,0,0
BCC_M08,BCC,c,0,0.06
BCC_M08,BCC,d,0,0.17
BCC_M08,BCC,e,0,0
BCC_M08,BCC,End,0,0
BCC_M08,BCC,f,0,0.4
BCC_M08,BCC,g,0,0
BCC_M08,BCC,l,0,0.76
BCC_M09,BCC,Start,0,0
BCC_M09,BCC,i,0.96,0.08
BCC_M09,BCC,a,0,0
BCC_M09,BCC,b,0,0
BCC_M09,BCC,c,0,0
BCC_M09,BCC,d,0,0
BCC_M09,BCC,e,0,0
BCC_M09,BCC,f,0,0
BCC_M09,BCC,g,0,0
BCC_M09,BCC,h,0,0.15
BCC_M09,BCC,m,0,0.72
BCC_M09,BCC,End,0,0
BCC_M09,BCC,n,0,0
BCC_M09,BCC,p,0,0.8
BCC_M09,BCC,q,0,0
BCC_M09,BCC,r,0,0
BCC_M11,BCC,Start,0,0
BCC_M11,BCC,j,0.16,0.71
BCC_M11,BCC,k,0.06,0
BCC_M11,BCC,a,0.52,0
BCC_M11,BCC,b,0.16,0
BCC_M11,BCC,c,0,0.5
BCC_M11,BCC,d,0,0
BCC_M11,BCC,e,0,0
BCC_M11,BCC,f,0,0
BCC_M11,BCC,g,0,0.66
BCC_M11,BCC,End,0,0
BCC_M11,BCC,h,0,0
BCC_M11,BCC,m,0,0
BCC_M11,BCC,n,0,0
BCC_M11,BCC,o,0,0
BCC_M11,BCC,p,0,0
BCC_M11,BCC,q,0,0
BCC_M11,BCC,r,0,0
BCC_M19,BCC,Start,0,0
BCC_M19,BCC,i,0.75,0
BCC_M19,BCC,j,0,0
BCC_M19,BCC,a,0,0
BCC_M19,BCC,b,0,0
BCC_M19,BCC,c,0,0.05
BCC_M19,BCC,d,0,0
BCC_M19,BCC,e,0,0
BCC_M19,BCC,f,0,0
BCC_M19,BCC,g,0,0
BCC_M19,BCC,h,0,0
BCC_M19,BCC,n,0,0
BCC_M19,BCC,p,0,0
BCC_M19,BCC,r,0,0
BCC_M19,BCC,s,0,0
BCC_M19,BCC,End,0,0
BCC_M19,BCC,l,0.18,0.55
BCC_M21,BCC,Start,0,0
BCC_M21,BCC,i,0.74,0
BCC_M21,BCC,a,0,0
BCC_M21,BCC,b,0,0
BCC_M21,BCC,c,0,0
BCC_M21,BCC,d,0,0
BCC_M21,BCC,e,0,0
BCC_M21,BCC,End,0,0
BCC_M21,BCC,k,0,0.05
BCC_M21,BCC,l,0.23,0.2
BCC_M21,BCC,f,0,0
BCC_M22,BCC,Start,0,0
BCC_M22,BCC,e,0.09,0.38
BCC_M22,BCC,i,0.7,0
BCC_M22,BCC,j,0,0
BCC_M22,BCC,a,0,0.42
BCC_M22,BCC,b,0,0.3
BCC_M22,BCC,c,0,0.1
BCC_M22,BCC,d,0,0.2
BCC_M22,BCC,f,0,0.27
BCC_M22,BCC,g,0,0
BCC_M22,BCC,End,0,0
BCC_M22,BCC,k,0,0.52
BF_brn24pnk13,BF,Start,0,0
BF_brn24pnk13,BF,a,1,0.25
BF_brn24pnk13,BF,b,0,0.22
BF_brn24pnk13,BF,c,0,0
BF_brn24pnk13,BF,d,0,0
BF_brn24pnk13,BF,e,0,0.5
BF_brn24pnk13,BF,f,0,0
BF_brn24pnk13,BF,g,0,0
BF_brn24pnk13,BF,End,0,0
BF_brn25pnk14,BF,Start,0,0
BF_brn25pnk14,BF,a,0.44,0.13
BF_brn25pnk14,BF,b,0,0.14
BF_brn25pnk14,BF,k,0.52,0.13
BF_brn25pnk14,BF,c,0,0
BF_brn25pnk14,BF,d,0,0
BF_brn25pnk14,BF,e,0,0
BF_brn25pnk14,BF,f,0,0
BF_brn25pnk14,BF,g,0,0
BF_brn25pnk14,BF,End,0,0
BF_brn35pnk21,BF,Start,0,0
BF_brn35pnk21,BF,a,1,0
BF_brn35pnk21,BF,b,0,0
BF_brn35pnk21,BF,c,0,0
BF_brn35pnk21,BF,e,0,0.35
BF_brn35pnk21,BF,d,0,0
BF_brn35pnk21,BF,End,0,0
BF_brn36pnk24,BF,Start,0,0
BF_brn36pnk24,BF,a,1,0.15
BF_brn36pnk24,BF,b,0,0
BF_brn36pnk24,BF,d,0,0.14
BF_brn36pnk24,BF,c,0,0
BF_brn36pnk24,BF,e,0,0.41
BF_brn36pnk24,BF,End,0,0
BF_brn36pnk24,BF,h,0,0.05
BF_org27ylw19,BF,Start,0,0
BF_org27ylw19,BF,i,0.97,0.65
BF_org27ylw19,BF,a,0,0
BF_org27ylw19,BF,b,0,0
BF_org27ylw19,BF,c,0,0.5
BF_org27ylw19,BF,d,0,0
BF_org27ylw19,BF,e,0,0
BF_org27ylw19,BF,End,0,0
JF_red28blu13,JF,Start,0,0
JF_red28blu13,JF,i,0.62,0
JF_red28blu13,JF,a,0,0
JF_red28blu13,JF,b,0,0
JF_red28blu13,JF,d,0,0
JF_red28blu13,JF,c,0,0.41
JF_red28blu13,JF,End,0,0
JF_red28blu13,JF,k,0.34,0.41
JF_ylw14gry00,JF,Start,0,0
JF_ylw14gry00,JF,k,0.44,0.27
JF_ylw14gry00,JF,i,0.44,0.41
JF_ylw14gry00,JF,a,0,0.05
JF_ylw14gry00,JF,j,0,0.43
JF_ylw14gry00,JF,f,0,0
JF_ylw14gry00,JF,d,0.06,0.22
JF_ylw14gry00,JF,b,0.06,0.39
JF_ylw14gry00,JF,e,0,0
JF_ylw14gry00,JF,c,0,0
JF_ylw14gry00,JF,End,0,0
JF_ylw20gry09,JF,Start,0,0
JF_ylw20gry09,JF,i,0.6,0.61
JF_ylw20gry09,JF,a,0.36,0.51
JF_ylw20gry09,JF,b,0,0.83
JF_ylw20gry09,JF,c,0,0.6
JF_ylw20gry09,JF,f,0,0
JF_ylw20gry09,JF,d,0,0
JF_ylw20gry09,JF,e,0,0.89
JF_ylw20gry09,JF,End,0,0
JF_ylw22gry08,JF,Start,0,0
JF_ylw22gry08,JF,a,0.27,0.16
JF_ylw22gry08,JF,b,0.5,0.14
JF_ylw22gry08,JF,c,0,0.35
JF_ylw22gry08,JF,d,0,0
JF_ylw22gry08,JF,e,0,0.22
JF_ylw22gry08,JF,g,0,0
JF_ylw22gry08,JF,End,0,0
JF_ylw22gry08,JF,f,0,0.52
JF_ylw22gry08,JF,k,0.12,0.4
JF_ylw22gry08,JF,l,0.08,0.8
JF_ylw25gry11,JF,Start,0,0
JF_ylw25gry11,JF,k,0.47,0.42
JF_ylw25gry11,JF,a,0.33,0.77
JF_ylw25gry11,JF,b,0,0.52
JF_ylw25gry11,JF,c,0,0
JF_ylw25gry11,JF,d,0,0.6
JF_ylw25gry11,JF,e,0,0
JF_ylw25gry11,JF,f,0,0.59
JF_ylw25gry11,JF,End,0,0
JF_ylw25gry11,JF,l,0.2,0.85
ZF_grn21org41,ZF,Start,0,0
ZF_grn21org41,ZF,y,0.1,0
ZF_grn21org41,ZF,i,0.79,0.61
ZF_grn21org41,ZF,j,0,0
ZF_grn21org41,ZF,a,0,0
ZF_grn21org41,ZF,b,0,0
ZF_grn21org41,ZF,c,0,0.1
ZF_grn21org41,ZF,End,0,0
ZF_grn21org41,ZF,I,0.07,0.2
ZF_org01wht58,ZF,Start,0,0
ZF_org01wht58,ZF,b,0,0
ZF_org01wht58,ZF,c,0,0
ZF_org01wht58,ZF,a,0,0
ZF_org01wht58,ZF,s,0.32,0.13
ZF_org01wht58,ZF,i,0.58,0.61
ZF_org01wht58,ZF,d,0,0
ZF_org01wht58,ZF,End,0,0
ZF_org01wht58,ZF,L,0,0.58
ZF_org11pnk05,ZF,Start,0,0
ZF_org11pnk05,ZF,a,0,0.23
ZF_org11pnk05,ZF,b,0,0
ZF_org11pnk05,ZF,c,0,0
ZF_org11pnk05,ZF,p,0,0.05
ZF_org11pnk05,ZF,k,0,0.07
ZF_org11pnk05,ZF,i,0.8,0.32
ZF_org11pnk05,ZF,t,0,0
ZF_org11pnk05,ZF,s,0.13,0.09
ZF_org11pnk05,ZF,End,0,0
ZF_pnk93pnk91,ZF,Start,0,0
ZF_pnk93pnk91,ZF,i,0.8,0.25
ZF_pnk93pnk91,ZF,a,0,0
ZF_pnk93pnk91,ZF,b,0,0
ZF_pnk93pnk91,ZF,s,0.12,0.27
ZF_pnk93pnk91,ZF,h,0,0
ZF_pnk93pnk91,ZF,H,0,0
ZF_pnk93pnk91,ZF,End,0,0
ZF_pnk93pnk91,ZF,S,0,0
ZF_pnk93pnk91,ZF,t,0,0
ZF_red15ylw15,ZF,Start,0,0
ZF_red15ylw15,ZF,x,0.55,0.5
ZF_red15ylw15,ZF,i,0,0
ZF_red15ylw15,ZF,d,0,0
ZF_red15ylw15,ZF,e,0,0
ZF_red15ylw15,ZF,k,0,0.53
ZF_red15ylw15,ZF,End,0,0
ZF_red15ylw15,ZF,j,0.44,0.06
ZF_red77pnk45,ZF,Start,0,0
ZF_red77pnk45,ZF,i,0.95,0.45
ZF_red77pnk45,ZF,c,0,0.12
ZF_red77pnk45,ZF,a,0,0
ZF_red77pnk45,ZF,b,0,0
ZF_red77pnk45,ZF,End,0,0
ZF_red77pnk45,ZF,s,0.05,0
ZF_red77pnk45,ZF,L,0,0.09
ZF_ylw67brn42,ZF,Start,0,0
ZF_ylw67brn42,ZF,i,0.93,0.26
ZF_ylw67brn42,ZF,a,0,0.24
ZF_ylw67brn42,ZF,b,0,0
ZF_ylw67brn42,ZF,c,0,0
ZF_ylw67brn42,ZF,d,0,0
ZF_ylw67brn42,ZF,End,0,0
ZF_ylw67brn42,ZF,s,0.07,0
ZF_ylw67brn42,ZF,L,0,0.48
ZF_ylw95ylw29,ZF,Start,0,0
ZF_ylw95ylw29,ZF,i,0.5,0.61
ZF_ylw95ylw29,ZF,a,0,0
ZF_ylw95ylw29,ZF,b,0,0
ZF_ylw95ylw29,ZF,c,0,0
ZF_ylw95ylw29,ZF,d,0,0
ZF_ylw95ylw29,ZF,End,0,0
ZF_ylw95ylw29,ZF,j,0.1,0.07
ZF_ylw95ylw29,ZF,k,0.27,0.29
ZF_ylw95ylw29,ZF,L,0,0.89
