Bird name,Species,No. of Unique Syllables,Sequence Linearity,Sequence Consistency,Sequence stereotypy,Transition Entropy,No. of Unique Start Syll,Fraction of Unique Start Syll,No. of Unique transitions
BCC_M01,BCC,19,0.6333333333333333,0.9027777777777778,0.7680555555555555,6.067955743139456,3.0,0.15789473684210525,30.0
BCC_M03,BCC,17,0.4594594594594595,0.7983460559796437,0.6289027577195516,10.983931138694611,4.0,0.23529411764705882,37.0
BCC_M08,BCC,12,0.2926829268292683,0.6134215500945179,0.45305223846189313,15.031902198886556,3.0,0.25,41.0
BCC_M09,BCC,19,0.4318181818181818,0.7782144862436834,0.6050163340309326,14.160798330318425,4.0,0.21052631578947367,44.0
BCC_M11,BCC,18,0.6206896551724138,0.8475282906491959,0.7341089729108048,7.900850193716707,4.0,0.2222222222222222,29.0
BCC_M19,BCC,18,0.4864864864864865,0.7599761762954139,0.6232313313909502,12.648501911859533,4.0,0.2222222222222222,37.0
BCC_M21,BCC,11,0.4782608695652174,0.756476683937824,0.6173687767515207,8.314912398995933,2.0,0.18181818181818182,23.0
BCC_M22,BCC,12,0.2727272727272727,0.5758718190386427,0.4242995458829577,16.0667232125624,3.0,0.25,44.0
BF_brn25pnk14,BF,10,0.5263157894736842,0.7825086306098963,0.6544122100417902,6.590416704641323,2.0,0.2,19.0
BF_brn35pnk21,BF,8,0.6666666666666666,0.7580174927113702,0.7123420796890184,4.211340521418258,1.0,0.125,12.0
BF_brn36pnk24,BF,8,0.47058823529411764,0.698956780923994,0.5847725081090558,6.430685880318288,1.0,0.125,17.0
BF_org27ylw19,BF,8,0.5714285714285714,0.7341772151898734,0.6528028933092225,5.239592483743918,1.0,0.125,14.0
JF_red28blu13,JF,8,0.47058823529411764,0.6632352941176471,0.5669117647058823,6.9305014386309525,2.0,0.25,17.0
JF_ylw14gry00,JF,11,0.3333333333333333,0.6063720452209661,0.46985268927714974,12.405855634913861,4.0,0.36363636363636365,33.0
JF_ylw20gry09,JF,10,0.5555555555555556,0.726339794754846,0.6409476751552008,6.9322253361456605,2.0,0.2,18.0
JF_ylw22gry08,JF,12,0.3870967741935484,0.6457194899817851,0.5164081320876668,12.598097999022123,4.0,0.3333333333333333,31.0
JF_ylw25gry11,JF,10,0.43478260869565216,0.6489841986455982,0.5418834036706252,9.796266599892336,3.0,0.3,23.0
ZF_grn21org41,ZF,10,0.625,0.8325740318906606,0.7287870159453302,4.758660707055612,3.0,0.3,16.0
ZF_org01wht58,ZF,9,0.42857142857142855,0.6594110115236875,0.5439912200475581,8.225908496140958,2.0,0.2222222222222222,21.0
ZF_org11pnk05,ZF,10,0.3448275862068966,0.632,0.4884137931034483,11.160427678446736,3.0,0.3,29.0
ZF_pnk93pnk91,ZF,10,0.4166666666666667,0.7722095671981775,0.5944381169324221,7.75860283229142,2.0,0.2,24.0
ZF_red15ylw15,ZF,9,0.5,0.75,0.625,6.1497511587424345,2.0,0.2222222222222222,18.0
ZF_red77pnk45,ZF,8,0.42105263157894735,0.7352941176470589,0.5781733746130031,6.266894954266939,2.0,0.25,19.0
ZF_ylw67brn42,ZF,9,0.47368421052631576,0.7862595419847328,0.6299718762555243,6.232503064367446,2.0,0.2222222222222222,19.0
ZF_ylw95ylw29,ZF,11,0.4782608695652174,0.7971014492753623,0.6376811594202898,7.369688366671382,3.0,0.2727272727272727,23.0
