0,Start,i,a,b,c,d,e,f,g,h,m,End,n,p,q,r
Start,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i,0,0.08,0.43,0,0,0,0,0,0,0,0,0.43,0,0,0,0
a,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0.92,0,0,0,0.08,0,0,0,0,0,0,0
c,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
e,0,0,0,0.08,0,0,0,0.92,0,0,0,0,0,0,0,0
f,0,0,0,0,0,0,0,0,0.95,0.05,0,0,0,0,0,0
g,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
h,0,0,0,0,0,0,0,0,0,0.15,0.76,0,0,0.06,0,0
m,0,0.07,0,0,0,0,0,0,0,0,0.72,0,0.2,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0.83,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0
q,0,0.94,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0
r,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
