0,i,a,b,c,d,e,f,g,h,m,n,p,q,r,s,k,D,l,x
i,0.37,0.43,0,0,0,0,0,0,0,0,0,0,0.08,0.04,0,0.02,0.02,0.04,0
a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,0,0,0,0.92,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
e,0,0,0.08,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0
f,0,0,0,0,0,0,0,0.95,0.05,0,0,0,0,0,0,0,0,0,0
g,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
h,0,0,0,0,0,0,0,0,0.15,0.76,0,0.06,0.03,0,0,0,0,0,0
m,0.07,0,0,0,0,0,0,0,0,0.73,0.2,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0.17,0,0,0.83,0,0,0,0,0,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,0,0,0,0,0
q,0.35,0,0,0,0,0,0,0,0,0,0,0,0.27,0.25,0.06,0.02,0,0.02,0.02
r,0,0,0.13,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0
s,0.09,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.73,0.09,0,0,0
k,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0
D,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
l,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.86,0
x,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
