0,Start,j,k,a,b,c,d,e,f,g,End,h,m,n,o,p,q,r
Start,0,0.16,0.14,0.46,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
j,0,0.7,0.16,0.09,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
k,0,0.4,0.2,0.13,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0
a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
c,0,0,0,0,0,0.5,0.48,0,0,0,0,0,0,0,0,0,0,0
d,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
e,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
f,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
g,0,0,0,0,0,0,0,0,0,0.66,0,0.32,0,0,0,0,0,0
End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5
n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0
p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
q,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
r,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
